fiscal_year,months_of_data,report_url
2068/69,6,https://www.nrb.org.np/red/current-macroeconomic-situation-english-2068-11-table-based-on-six-months-data-of-2068-69/
2068/69,7,https://www.nrb.org.np/red/current-macroeconomic-situation-english-2068-12-text-based-on-seven-month-data-of-2068-69/
2068/69,7,https://www.nrb.org.np/red/current-macroeconomic-situation-english-2068-12-table-based-on-seven-months-data-of-2068-69/
2068/69,8,https://www.nrb.org.np/red/current-macroeconomic-situation-english-2069-01-text-based-on-eight-month-data-of-2068-69/
2068/69,8,https://www.nrb.org.np/red/current-macroeconomic-situation-english-2069-01-table-based-on-eight-months-data-of-2068-69/
2068/69,9,https://www.nrb.org.np/red/current-macroeconomic-situation-english-2069-02-text-based-on-nine-month-data-of-2068-69/
2068/69,9,https://www.nrb.org.np/red/current-macroeconomic-situation-english-2069-02-table-based-on-nine-months-data-of-2068-69/
2068/69,10,https://www.nrb.org.np/red/current-macroeconomic-situation-english-2069-03-text-based-on-ten-month-data-of-2068-69/
2068/69,10,https://www.nrb.org.np/red/current-macroeconomic-situation-english-2069-03-table-based-on-ten-months-data-of-2068-69/
2068/69,11,https://www.nrb.org.np/red/current-macroeconomic-situation-english-2069-04-table-based-on-eleven-months-data-of-2068-69/
2068/69,11,https://www.nrb.org.np/red/current-macroeconomic-situation-english-2069-04-text-based-on-eleven-month-data-of-2068-69/
2068/69,12,https://www.nrb.org.np/red/current-macroeconomic-situation-english-2069-05-text-based-on-annual-data-of-2068-69/
2068/69,12,https://www.nrb.org.np/red/current-macroeconomic-situation-english-2069-05-table-based-on-annual-data-of-2068-69/
2068/69,,https://www.nrb.org.np/red/current-macroeconomic-situation-english-2068-06-text-based-on-first-months-data-of-2068-69/
2068/69,,https://www.nrb.org.np/red/current-macroeconomic-situation-english-2068-06-tables-based-on-first-months-data-of-2068-69/
2069/70,2,https://www.nrb.org.np/red/current-macroeconomic-situation-english-2069-07-text-based-on-two-months-data-of-2069-70/
2069/70,2,https://www.nrb.org.np/red/current-macroeconomic-situation-english-2069-07-table-based-on-two-months-data-of-2069-70-2/
2069/70,3,https://www.nrb.org.np/red/current-macroeconomic-situation-english-2069-08-text-based-on-three-months-data-of-2069-70/
